egg_id,day,HU,weight_g,R,S,T,U,V,W
1,1,87.27,59.87,0,108,69,38,19,0
2,1,87.34,59.91,0,116,68,38,19,0
3,1,86.29,59.99,0,101,71,34,18,0
4,1,87.95,60.56,0,119,75,44,22,0
5,1,87.6,60.83,0,100,65,37,18,0
6,1,87.45,60.07,0,107,70,36,19,0
7,1,85.7,60.66,0,95,58,30,14,0
8,1,85.16,60.48,0,93,61,35,17,0
9,1,85.79,60.22,0,81,58,34,14,0
10,1,86.4,60.1,0,93,61,34,17,0
11,1,85.74,60.04,0,127,77,40,21,0
12,1,88.79,60.53,0,97,65,34,16,0
13,1,86.44,61.24,0,89,58,30,14,0
14,1,85.85,60.25,0,112,69,38,19,0
15,1,87.11,59.84,0,96,59,35,17,0
16,1,85.63,60.15,0,102,55,36,16,0
17,1,86.61,60.87,0,103,68,36,18,0
18,1,86.03,60.61,0,95,64,36,18,0
19,1,85.57,60.18,0,101,71,34,18,0
20,1,88.97,59.59,0,107,72,39,21,0
21,1,86.98,60.05,0,110,73,39,19,0
22,1,87.67,60.05,0,91,59,31,16,0
23,1,87.61,59.57,0,120,74,40,20,0
24,1,85.63,60.37,0,120,79,41,23,0
25,1,86.35,60.5,0,108,74,35,20,0
26,1,87.07,60.86,0,98,62,32,14,0
27,1,86.09,60.85,0,97,62,33,16,0
28,1,87.86,61.38,0,83,57,30,16,0
29,1,88.48,60.25,0,87,56,32,15,0
30,1,86.87,60.61,0,89,65,30,16,0
31,2,85.06,60.96,0,93,57,29,15,0
32,2,85.98,60.22,0,100,59,36,16,0
33,2,86.07,60.07,0,101,66,33,19,0
34,2,85.25,61.15,0,102,65,33,18,0
35,2,83.31,59.92,0,101,66,35,18,0
36,2,84.52,59.81,0,85,54,30,15,0
37,2,83.62,60.34,0,107,63,29,17,0
38,2,83.97,59.92,0,109,62,31,17,0
39,2,86.17,60.06,0,114,63,35,18,0
40,2,86.43,60.51,0,93,57,29,17,0
41,2,85.1,60.22,0,87,68,32,17,0
42,2,85.71,60.16,0,135,74,38,20,0
43,2,83.28,59.49,0,103,60,35,18,0
44,2,86.56,60.72,0,114,68,38,20,0
45,2,82.48,59.85,0,83,60,28,15,0
46,2,84.15,60.37,0,93,60,28,16,0
47,2,84.02,59.76,0,112,59,36,17,0
48,2,87.84,60.66,0,88,66,30,17,0
49,2,86.46,60.73,0,93,70,35,18,0
50,2,85.58,59.66,0,119,74,40,19,0
51,2,85.34,60.92,0,101,70,39,18,0
52,2,85.83,60.1,0,92,57,29,14,0
53,2,87.08,58.91,0,97,63,38,20,0
54,2,85.67,60.58,0,125,86,44,23,0
55,2,84.22,59.58,0,89,60,33,18,0
56,2,85.48,60.25,0,90,58,35,15,0
57,2,84.97,60.4,0,96,61,32,16,0
58,2,85.59,59.78,0,95,62,33,15,0
59,2,85.28,61.41,0,95,65,33,16,0
